,entry time,exit time,id,entry,exit,qty,leverage,stop loss,take profit,actualised,type,abs capital gain,capital gain
734,1632271504510,1632272703.6079998,366,40690.9,41097.809,8.079,125,40853.6636,41097.809,True,LONG,0.012500000000000013,4109.272263750005
735,1632271504510,1632272223.217,366,40690.9,40853.6636,8.079,125,40853.6636,40283.991,True,SHORT,-0.004980079681274896,-1643.7089054999985
736,1632274204061,1632275463.6320002,368,42074.08,42242.376319999996,8.341000000000001,125,42242.376319999996,42494.8208,True,LONG,0.0050000000000000044,1754.6995064000016
737,1632274204061,1632275222.789,368,42074.08,42242.376319999996,8.341000000000001,125,42242.376319999996,41653.3392,True,SHORT,-0.004980079681274896,-1754.6995063999982
738,1632286803125,1632287523.117,369,41897.63,42065.220519999995,8.379,125,42065.220519999995,42316.6063,True,LONG,0.0050000000000000044,1755.3012088500013
739,1632286803125,1632287404.7229998,369,41897.63,42065.220519999995,8.379,125,42065.220519999995,41478.6537,True,SHORT,-0.004980079681274896,-1755.301208849998
740,1632289503687,1632292142.8539999,370,41863.55,42031.0042,8.389,125,42031.0042,42282.185500000014,True,LONG,0.0050000000000000044,1755.9666047500016
741,1632289503687,1632291422.6460001,370,41863.55,42031.0042,8.389,125,42031.0042,41444.9145,True,SHORT,-0.004980079681274896,-1755.9666047499984
742,1632290404305,1632292324.332,371,42012.33,42180.37932,8.568,125,42180.37932,42432.4533,True,LONG,0.0050000000000000044,1799.8082172000018
743,1632290404305,1632292324.035,371,42012.33,42180.37932,8.568,125,42180.37932,41592.2067,True,SHORT,-0.004980079681274896,-1799.8082171999986
744,1632305706232,1632307144.7229998,373,42273.25,42104.157,8.521,125,42104.157,42695.9825,True,LONG,-0.0050000000000000044,-1801.0518162500016
745,1632305706232,1632307205.351,373,42273.25,42104.157,8.521,125,42104.157,41850.5175,True,SHORT,0.005020080321285203,1801.0518162500225
746,1632303005534,1632307143.438,372,42328.0,42158.688,8.302999999999999,125,42158.688,42751.28,True,LONG,-0.0050000000000000044,-1757.2469200000016
747,1632303005534,1632308462.678,372,42328.0,42158.688,8.302999999999999,125,42158.688,41904.72,True,SHORT,0.005020080321285203,1757.2469200000219
748,1632307505547,1632308642.6320002,374,41967.37,42135.23948,9.05,125,42135.23948,42387.0437,True,LONG,0.0050000000000000044,1899.0234925000025
749,1632307505547,1632308283.6820002,374,41967.37,42135.23948,9.05,125,42135.23948,41547.6963,True,SHORT,-0.004980079681274896,-1899.0234924999988
750,1632316503935,1632317222.901,375,42436.01,42266.265960000004,8.279,125,42266.265960000004,42860.3701,True,LONG,-0.004999999999999866,-1756.6386339499527
751,1632316503935,1632317283.272,375,42436.01,42266.265960000004,8.279,125,42266.265960000004,42011.6499,True,SHORT,0.005020080321285203,1756.638633950022
752,1632344405198,1632346445.335,378,43383.45,43556.9838,8.574,125,43556.9838,43817.2845,True,LONG,0.0050000000000000044,1859.8485015000006
753,1632344405198,1632346385.592,378,43383.45,43556.9838,8.574,125,43556.9838,42949.6155,True,SHORT,-0.004980079681274896,-1859.8485014999976
754,1632342603899,1632346503.105,376,43369.87,43543.349480000004,8.097000000000001,125,43543.349480000004,43803.5687,True,LONG,0.0050000000000000044,1755.8291869500015
755,1632342603899,1632346383.546,376,43369.87,43543.349480000004,8.097000000000001,125,43543.349480000004,42936.1713,True,SHORT,-0.004980079681274896,-1755.8291869499985
756,1632343504048,1632347343.992,377,43441.96,43268.19216000001,8.286,125,43268.19216000001,43876.3796,True,LONG,-0.0050000000000000044,-1799.8004028000016
757,1632343504048,1632347463.776,377,43441.96,43007.5404,8.286,125,43268.19216000001,43007.5404,True,SHORT,0.012626262626262708,4499.501007000029
758,1632348902810,1632352923.367,379,43303.48,43476.69392000001,8.669,125,43476.69392000001,43736.5148,True,LONG,0.0050000000000000044,1876.9893406000024
759,1632348902810,1632351244.566,379,43303.48,43476.69392000001,8.669,125,43476.69392000001,42870.4452,True,SHORT,-0.004980079681274896,-1876.9893405999985
760,1632352507046,1632355562.389,380,43536.0,43361.856,9.328,125,43361.856,43971.36,True,LONG,-0.0050000000000000044,-2030.5190400000013
761,1632352507046,1632355622.812,380,43536.0,43361.856,9.328,125,43361.856,43100.64,True,SHORT,0.005020080321285203,2030.519040000025
762,1632357903670,1632358863.431,381,43253.19,43080.17724000001,8.679,125,43080.17724000001,43685.7219,True,LONG,-0.0050000000000000044,-1876.9721800500013
763,1632357903670,1632358922.719,381,43253.19,43080.17724000001,8.679,125,43080.17724000001,42820.6581,True,SHORT,0.005020080321285203,1876.972180050024
764,1632363303688,1632364022.617,382,43467.89,43641.76156,8.633,125,43641.76156,43902.5689,True,LONG,0.0050000000000000044,1876.2914718500006
765,1632363303688,1632363843.15,382,43467.89,43641.76156,8.633,125,43641.76156,43033.2111,True,SHORT,-0.004980079681274896,-1876.2914718499976
766,1632376803055,1632381124.3920002,383,43881.41,44056.93564,8.555,125,44056.93564,44320.22410000001,True,LONG,0.0050000000000000044,1877.0273127500016
767,1632376803055,1632379862.689,383,43881.41,44056.93564,8.555,125,44056.93564,43442.5959,True,SHORT,-0.004980079681274896,-1877.0273127499984
768,1632381305734,1632382564.055,384,43942.64,44118.410560000004,8.546,125,44118.410560000004,44382.0664,True,LONG,0.0050000000000000044,1877.6690072000013
769,1632381305734,1632382325.019,384,43942.64,44118.410560000004,8.546,125,44118.410560000004,43503.2136,True,SHORT,-0.004980079681274757,-1877.6690071999453
770,1632388504702,1632389702.796,385,44073.73,43897.43508,8.524,125,43897.43508,44514.4673,True,LONG,-0.0050000000000000044,-1878.4223726000016
771,1632388504702,1632389762.8839998,385,44073.73,43897.43508,8.524,125,43897.43508,43632.9927,True,SHORT,0.005020080321285203,1878.4223726000232
772,1632391204220,1632392042.519,386,43945.2,43769.4192,8.546,125,43769.4192,44384.652,True,LONG,-0.0050000000000000044,-1877.7783960000013
773,1632391204220,1632392343.439,386,43945.2,43769.4192,8.546,125,43769.4192,43505.748,True,SHORT,0.005020080321285203,1877.7783960000231
